prenom,genre,signification,origine
ABUBAKAR,m,Form of ABU BAKR used in western Africa.,[Western African]
ABUL-FAZL,m,ABUL-FAZL   m   ArabicVariant transcription of ABU AL-FADL.,[Arabic]
ACACIA,f,"From the name of a type of tree, ultimately deriving from Greek ακη (ake) ""thorn, point"".",[English (Rare)]
ACANTHA,f,"form of Greek Ακανθα (Akantha), which meant ""thorn, prickle"". In Greek legend she was a nymph loved by Apollo.",[Greek Mythology (Latinized)]
ACE  (2), (2),ACE  (2)   m   MacedonianMacedonian diminutive of ALEXANDER.,[Macedonian]
ACHAB,m,form of AHAB used in some versions of the Vulgate.,[Biblical Latin]
ACHAIKOS,m,form of ACHAICUS.,"[Biblical Greek, Ancient Greek]"
ACHARD,m,form of EKKEHARD.,[Old Norman]
ACHIENG,f,Feminine form of OCHIENG.,"[Eastern African, Luo]"
ACHILLES,m,"From the Greek Αχιλλευς (Achilleus) which is of unknown meaning, perhaps derived from Greek αχος (achos) ""pain"" or else from the name of the Achelous River. This was the name of a warrior in Greek legend, one of the central characters in Homer's 'Iliad'. The bravest of the Greek heroes in the war against the Trojans, he was eventually killed by an arrow to his heel, the only vulnerable part of his body.",[Greek Mythology (Latinized)]
ACHIM  (1), (1),short form of JOACHIM.,[German]
ACHINOAM,f,form of AHINOAM.,"[Biblical Hebrew, Hebrew]"
ACO,m,"ACO   m   Macedonian, SerbianMacedonian and Serbian diminutive of ALEKSANDAR.","[Macedonian, Serbian]"
ADA,f,"Short form of ADELAIDE and other names beginning with the same sound. This name was borne by Augusta Ada King (1815-1852), the Countess of Lovelace (known as Ada Lovelace), a daughter of Lord Byron. She was an assistant to Charles Babbage, the inventor of an early mechanical computer.","[English, German, Polish, Hungarian, Italian, Finnish]"
ADAEZE,f,"Means ""king's daughter"" in Igbo.","[Western African, Igbo]"
ADAIR,m,From an English surname which was derived from the given name EDGAR.,[English (Rare)]
ADALBERN,m,"Derived from the Germanic elements adal ""noble"" and bern ""bear"".",[Ancient Germanic]
ADALBERTO,m,Variant of ALBERTO.,"[Italian, Spanish, Portuguese]"
ADALFARUS,m,"Derived from the Germanic elements adal ""noble"" and fara ""journey"".",[Ancient Germanic (Latinized)]
ADALHARD,m,"Derived from the Germanic elements adal ""noble"" and hard ""brave, hardy"". Saint Adalhard or Adalard was a cousin of Charlemagne who became a abbot of Corbie.",[Ancient Germanic]
ADALIA,m,"means ""YAHWEH is just"" in Hebrew. In the Old Testament this is the name of a son of Haman.",[Biblical]
ADALWOLF,m,form of ADOLF.,[Ancient Germanic]
ADALYN,f,Variant of ADELINE using the popular name suffix lyn.,[English (Modern)]
ÁDÁM,m,form of ADAM.,[Hungarian]
ADAMINA,f,Feminine form of ADAM.,[English (Rare)]
ADAMU,m,form of ADAM.,[Old Church Slavic]
ADANNA,f,"Means ""father's daughter"" in Igbo.","[Western African, Igbo]"
ADÃO,m,form of ADAM.,[Portuguese]
ADDE,m,"short form of Germanic names beginning with the element adal meaning ""noble"".",[Frisian]
ADDISON,f,"From an English surname meaning ""son of ADAM"". Its recent popularity as a feminine name stems from its similarity in sound to Madison.",[English]
ADDY  (2), (2),ADDY  (2)   m   Medieval EnglishMedieval diminutive of ADAM.,[Medieval English]
ADE  (1), (1),"Means ""crown"" in Yoruba, also a short form of other Yoruba names beginning with this element.","[Western African, Yoruba]"
ADEBAYO,m,"Means ""the crown meets joy"" in Yoruba.","[Western African, Yoruba]"
ADEBOWALE,m,"Means ""the crown has come home"" in Yoruba.","[Western African, Yoruba]"
ADEGOKE,m,"Means ""the crown has been exalted"" in Yoruba.","[Western African, Yoruba]"
ADEL,m,ADEL   m   ArabicVariant transcription of ADIL.,[Arabic]
ADELA,f,"short form of names beginning with the Germanic element adal meaning ""noble"". Saint Adela was a 7th-century Frankish princess who founded a monastery at Pfazel in France. This name was also borne by a daughter of William the Conqueror.","[English, Spanish, Romanian, Polish, Ancient Germanic]"
ADÉLAÏDE,f,form of ADELAIDE.,[French]
ADELAIS,f,form of ADALHEIDIS.,[Ancient Germanic]
ADÉLARD,m,form of ADALHARD.,[French (Quebec)]
ADELBERT,m,variant of ADALBERT.,"[German, Dutch]"
ADELE,f,Form of ADÈLE.,"[German, English, Italian, Finnish]"
ADELIA,f,form of ADELA.,"[English, Spanish]"
ADELINE,f,"ADELINE   f   French, EnglishDiminutive of ADÈLE.","[French, English]"
ADELLA,f,Variant of ADELA.,[English]
ADELMAR,m,"From the Germanic elements adal ""noble"" and meri ""famous"".","[Ancient Germanic, Portuguese (Brazilian)]"
ADEM,m,form of ADAM.,[Turkish]
ADEMARO,m,form of Audamar (see OTMAR).,[Italian]
ADEN,m,Variant of AIDAN.,[English (Modern)]
ADEODATUS,m,"ADEODATUS   m   Late RomanLatin name meaning ""given by God"". This was the name of a son of Saint Augustine and two popes (who are also known by the related name Deusdedit).",[Late Roman]
ADETOKUNBO,m,"Means ""the crown came from over the sea"" in Yoruba.","[Western African, Yoruba]"
ADHARA,f,"Derived from Arabic عذارى ('adhara) meaning ""maidens"". This is the name of the second brightest star (after Sirius) in the constellation Canis Major.",[Astronomy]
ADI  (1), (1),"Means ""jewel"" or ""ornament"" in Hebrew.",[Hebrew]
ADI  (3), (3),"ADI  (3)   m   German, RomanianDiminutive of ADOLF (German) or ADRIAN (Romanian) as well as other names beginning with the same sound.","[German, Romanian]"
ADIL,m,"Means ""fair, honest, just"" from Arabic عدل ('adala) ""to act justly"".",[Arabic]
ADİLE,f,feminine form of ADIL.,[Turkish]
ADINA  (1), (1),"From Hebrew עֲדִינָא ('adina') meaning ""slender, delicate"". This name is borne by a soldier in the Old Testament. It is also used in modern Hebrew as a feminine name, typically spelled עֲדִינָה.","[Biblical, Biblical Latin, Biblical Greek, Hebrew]"
'ADINAH,m,form of ADINA  (1).,[Biblical Hebrew]
ADIR,m,"Means ""strong, mighty"" in Hebrew. This word is used in the Hebrew Bible to describe God.",[Hebrew]
ADITI,f,"Means ""boundless, entire"" or ""freedom, security"" in Sanskrit. This is the name of an ancient Hindu goddess of the sky and fertility. According to the Vedas she is the mother of the gods.","[Hinduism, Indian, Hindi, Marathi, Bengali, Kannada]"
ADJOA,f,Variant of ADWOA.,"[Western African, Akan]"
ADNAN,m,"Means ""settler"" in Arabic. According to tradition, Adnan was an ancestor of the Prophet Muhammad and the northern Arabian tribes.","[Arabic, Turkish, Bosnian, Urdu]"
ADOLFITO,m,ADOLFITO   m   SpanishSpanish diminutive of ADOLFO.,[Spanish]
ADOLPH,m,"form of ADOLF, rarely used since World War II.",[English]
ADOLPHUS,m,form of ADOLF.,[Ancient Germanic (Latinized)]
ADONAI,m,"Means ""my lord"" in Hebrew. This was the title used to refer to the God of the Israelites, Yahweh, whose name was forbidden to be spoken.",[Theology]
ADONIRAM,m,"Means ""my lord is exalted"" in Hebrew. In the Old Testament this is the name of an overseer of tribute under the kings David, Solomon and Rehoboam. He was stoned to death when the Israelites revolted.",[Biblical]
'ADONIYAH,m,form of ADONIJAH.,[Biblical Hebrew]
ADORACIÓN,f,"Means ""adoration"" in Spanish. This name refers to the event that is known in Christian tradition as the Adoration of the Magi, which is when the three Magi presented gifts to the infant Jesus and worshipped him.",[Spanish]
ADORJÁN,m,form of ADRIAN.,[Hungarian]
ADRASTEIA,f,Feminine form of ADRASTOS. In Greek mythology this name was borne by a nymph who fostered the infant Zeus. This was also another name of the goddess Nemesis.,[Greek Mythology]
ADRIA,f,Short form of ADRIANA.,[English]
ADRIAAN,m,form of ADRIAN.,[Dutch]
ADRIAN,m,"Form of Hadrianus (see HADRIAN). Several saints and six popes have borne this name, including the only English pope, Adrian IV, and the only Dutch pope, Adrian VI. As an English name, it has been in use since the Middle Ages, though it was not popular until modern times.","[English, Romanian, Polish, German, Swedish, Norwegian, Danish, Russian]"
ADRIANNA,f,Feminine form of ADRIAN.,"[English, Polish]"
ADRIANO,m,form of ADRIAN.,"[Italian, Portuguese]"
ADRIEN,m,form of ADRIAN.,[French]
ADRIENNE,f,feminine form of ADRIAN.,[French]
ADRIJANA,f,feminine form of ADRIAN.,"[Slovene, Serbian, Croatian, Macedonian]"
ADWOA,f,"Means ""born on Monday"" in Akan.","[Western African, Akan]"
ÁED,m,form of AODH.,"[Ancient Irish, Irish Mythology]"
ÁEDH,m,Variant of ÁED.,[Ancient Irish]
AEGLE,f,"form of the Greek Αιγλη (Aigle) which meant ""light, radiance, glory"". This was the name of several characters in Greek myth, including one of the Heliades and one of the Hesperides.",[Greek Mythology (Latinized)]
ÆLFGIFU,f,"Derived from the Old English elements ælf ""elf"" and giefu ""gift"". This was the name of the first wife of the English king Æðelræd II.",[Anglo-Saxon]
ÆLFNOÐ,m,"Derived from the Old English element ælf ""elf"" combined with noð ""boldness, daring"".",[Anglo-Saxon]
AADA,f,short form of ADELE and other names beginning with the same sound.,[Finnish]
AAFJE,f,"Short form of names beginning with the Germanic element alf ""elf"".",[Dutch]
AALI,m,"Means ""high, lofty, sublime"" in Arabic.",[Arabic]
AALIYAH,f,"Feminine form of AALI. It was popularized in the English-speaking world by the singer Aaliyah Haughton (1979-2001), who was known simply as Aaliyah.","[Arabic, English (Modern)]"
AAMINAH,f,AAMINAH   f   ArabicVariant transcription of AMINAH  (1).,[Arabic]
AAMIR,m,Variant of AMIR  (1).,[Arabic]
AAPELI,m,form of ABEL.,[Finnish]
AAREN,m,feminine form of AARON.,[English (Rare)]
AARÓN,m,form of AARON.,[Spanish]
AART,m,short form of ARNOLD.,[Dutch]
AARTI,f,"From the name of a Hindu ritual in which offerings of lamps or candles are made to various gods, derived from Sanskrit आरात्रिक (aratrika).","[Indian, Hindi, Marathi]"
AATOS,m,"Means ""thought"" in Finnish.",[Finnish]
AATU,m,form of ADOLF.,[Finnish]
ABACUC,m,form of HABAKKUK.,[Biblical Latin]
ABBÁN,m,"Means ""little abbot"", derived from Irish abb ""abbot"" combined with a diminutive suffix. This was the name of a 6th-century Irish saint, the son of king Cormac of Leinster.",[Irish]
ABBAS,m,"Means ""austere"" in Arabic. This was the name of the Prophet Muhammad's uncle. It was also borne by a son of Ali, the fourth caliph.","[Arabic, Persian]"
ABBEY,f,ABBEY   f   EnglishDiminutive of ABIGAIL.,[English]
ABBIE,f,ABBIE   f   EnglishDiminutive of ABIGAIL.,[English]
ABD AL-AZIZ,m,"Means ""servant of the powerful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with عزيز ('aziz) ""powerful"". This was the name of the first king of modern Saudi Arabia.",[Arabic]
ABD AL-KADER,m,ABD AL-KADER   m   ArabicVariant transcription of ABD AL-QADIR.,[Arabic]
ABD ALLAH,m,"Means ""servant of ALLAH"" from Arabic عبد ('abd) ""servant of"" combined with الله (Allah). This was the name of the Prophet Muhammad's father. He died before his son's birth.",[Arabic]
ABD AL-MALIK,m,"Means ""servant of the king"" from Arabic عبد ال ('abd al) ""servant of the"" combined with ملك (malik) ""king"". This was the name of the fifth Umayyad caliph, who made Arabic the official language of the empire.",[Arabic]
ABD AL-RAHMAN,m,"Means ""servant of the merciful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with رحمن (rahman) ""merciful"". This was the name of two early caliphs of the Umayyad dynasty in Spain.",[Arabic]
ABD AL-WALI,m,"Means ""servant of the guardian"" from Arabic عبد ال ('abd al) ""servant of the"" combined with ولِي (wali) ""guardian, friend"".",[Arabic]
ABDIOU,m,Form of OBADIAH used in the Greek Old Testament.,[Biblical Greek]
ABDUL,m,"ABDUL   m   Arabic, Urdu, Punjabi, Pashto, Bengali, Indonesian, MalayFirst part of compound Arabic names beginning with عبد ال ('Abd al) meaning ""servant of the"" (such as عبد العزيز ('Abd al-'Aziz) ""servant of the powerful"").","[Arabic, Urdu, Punjabi, Pashto, Bengali, Indonesian, Malay]"
ABDUL-AZIZ,m,ABDUL-AZIZ   m   ArabicVariant transcription of ABD AL-AZIZ.,[Arabic]
ABDÜLHAMİT,m,form of ABD AL-HAMID.,[Turkish]
ABDÜLKERİM,m,form of ABD AL-KARIM.,[Turkish]
ABDÜLLATİF,m,form of ABD AL-LATIF.,[Turkish]
ABDULLOHI,m,form of ABD ALLAH.,[Tajik]
ABDURAKHMAN,m,form of ABD AL-RAHMAN.,[Chechen]
ABDUR-RASHID,m,ABDUR-RASHID   m   ArabicVariant transcription of ABD AL-RASHID.,[Arabic]
ABE  (1), (1),Short form of ABRAHAM.,[English]
ABEDNEGO,m,"Means ""servant of Nebo"" in Akkadian, Nebo being the Babylonian god of wisdom. In the Old Testament Abednego is the Babylonian name given to Azariah, one of the three men cast into a blazing furnace but saved from harm by God, as told in the Book of Daniel.",[Biblical]
ÁBEL,m,form of ABEL.,[Hungarian]
ABELE,m,form of ABEL.,[Italian]
ABENA,f,"Means ""born on Tuesday"" in Akan.","[Western African, Akan]"
ABENI,f,"Means ""we asked for her, and behold, we got her"" in Yoruba.","[Western African, Yoruba]"
ABERASH,f,"means ""giving off light"" in Amharic.","[Eastern African, Amharic]"
ABESSALOM,m,form of ABSALOM.,[Biblical Greek]
ABHAY,m,"Means ""fearless"" in Sanskrit.","[Indian, Hindi, Marathi]"
ABHIJIT,m,"From Sanskrit अभिजित (abhijita) meaning ""victorious"". This is the Sanskrit name for the star Vega.","[Indian, Hindi, Marathi, Bengali]"
ABHILASHA,f,Feminine form of ABHILASH.,"[Indian, Hindi]"
ABHISHEK,m,"Means ""anointing"" in Sanskrit.","[Indian, Hindi, Marathi, Gujarati, Punjabi, Bengali, Kannada, Telugu, Malayalam, Tamil]"
ABIA,m,form of 'AVIYAH.,"[Biblical Latin, Biblical Greek]"
ABIDAN,m,"Means ""my father is judge"" in Hebrew. In the Old Testament he is a Benjamite prince.","[Biblical, Biblical Latin, Biblical Greek]"
ABIEL,m,"Means ""God is my father"" in Hebrew. This was the name of the grandfather of Saul in the Old Testament.",[Biblical]
ABIGAÍL,f,form of ABIGAIL.,[Spanish]
ABIGAYLE,f,Variant of ABIGAIL.,[English (Modern)]
ABIHU,m,"Means ""he is my father"" in Hebrew. This is the name of a son of Aaron in the Old Testament. He and his brother Nadab were killed by God because they presented him with unauthorized fire.",[Biblical]
ABILENE,f,"From a place name mentioned briefly in the New Testament. It possibly means ""grass"" in Hebrew.",[Biblical]
ABILIO,m,form of AVILIUS.,[Spanish]
ABIMBOLA,m,"Means ""born wealthy"" in Yoruba.","[Western African, Yoruba]"
ABIODUN,m,"Means ""born on a festival"" in Yoruba.","[Western African, Yoruba]"
ABIRAM,m,"Means ""my father is exalted"" in Hebrew. In the Old Testament, Abiram is swallowed by an earthquake after rebelling against the leadership of Moses.",[Biblical]
ABISHAG,f,"Means ""my father strays"" in Hebrew. In the Old Testament she is a young woman who tends King David in his old age.",[Biblical]
ABITAL,f,"Means ""my father is the night dew"" in Hebrew. She is the fifth wife of David in the Old Testament.",[Biblical]
ABNER,m,"Means ""my father is a light"" in Hebrew. In the Old Testament, Abner was a cousin of Saul and the commander of his army. After he killed Asahel he was himself slain by Asahel's brother Joab. It has been used as an English Christian given name since the Protestant Reformation. It was popular with the Puritans, who brought it to America in the 17th century.","[English, Biblical, Biblical Latin]"
ABOUBACAR,m,Form of ABU BAKR used in western Africa.,[Western African]
ABRAÃO,m,form of ABRAHAM.,[Portuguese]
ABRAHAM,m,from Ur into Canaan. He is regarded by Jews as being the founder of the Hebrews through his son Isaac and by Muslims as being the founder of the Arabs through his son Ishmael.... [more],"[English, Hebrew, Spanish, French, Dutch, German, Swedish, Norwegian, Danish, Biblical, Biblical Latin]"
ABRAM  (2), (2),form of ABRAHAM.,"[Russian, Georgian]"
ABSALOM,m,"From the Hebrew name אַבְשָׁלוֹם ('Avshalom) which meant ""my father is peace"". In the Old Testament he is a son of King David. He avenged his sister Tamar by arranging the murder of her rapist, their half-brother Amnon. He later led a revolt against his father. While fleeing on the back of a mule he got his head caught in a tree and was killed by Joab.","[Biblical, Biblical Latin]"
ABU AL-FADL,m,"ABU AL-FADL   m   ArabicCombination of ABU and FADL. This was another name for Abbas, the son of the fourth caliph Ali.",[Arabic]
ABU BAKR,m,"ABU BAKR   m   ArabicCombination of ABU and BAKR. Abu Bakr was a companion and father-in-law of the Prophet Muhammad and the first caliph of the Muslim world. His name was in fact a kunya (a nickname) formed using Abu; his real name was Abd Allah. Shia Muslims hold a more negative view of Abu Bakr, hence this name is more widely used among Sunnis.",[Arabic]
ACA,m,"ACA   m   Serbian, MacedonianSerbian and Macedonian diminutive of ALEKSANDAR.","[Serbian, Macedonian]"
ACACIUS,m,form of AKAKIOS.,[Ancient Greek (Latinized)]
ACE  (1), (1),"From the English word meaning ""highest rank"". More commonly a nickname, it is occasionally used as a given name.",[English]
ACHAAB,m,form of AHAB.,[Biblical Greek]
ACHAICUS,m,"form of the Greek name Αχαικος (Achaikos), which referred to the region in Greece called Αχαια (Achaia), situated on the northern coast of the Peloponnese. In the New Testament this is the name of a Corinthian Christian who aids Saint Paul.","[Biblical, Biblical Latin]"
ACHAN,m,"ACHAN   m   BiblicalPossibly a variation of the Hebrew word עֲכָר ('akhar) meaning ""trouble"". In the Old Testament, Achan is stoned to death because he steals forbidden items during the assault on Jericho.",[Biblical]
'ACH'AV,m,form of AHAB.,[Biblical Hebrew]
ACHILLE,m,form of ACHILLES.,"[French, Italian]"
ACHILLEUS,m,form of ACHILLES.,[Greek Mythology]
ACHIM  (2), (2),"means ""he will establish"" in Hebrew. In the New Testament this name is listed as an ancestor of Jesus.",[Biblical]
ACKE,m,short form of AXEL.,[Swedish]
AD,m,Short form of ADRIAAN.,"[Dutch, Limburgish]"
ADAD,m,ADAD   m   Near Eastern MythologyAkkadian cognate of HADAD.,[Near Eastern Mythology]
ADAH,f,"Means ""adornment"" in Hebrew. This was the name of the wives of both Lamech and Esau in the Old Testament.",[Biblical]
ADALBERHT,m,form of ALBERT.,[Ancient Germanic]
ADALBERT,m,"form of ALBERT. This is the name of a patron saint of Bohemia, Poland and Prussia.","[Ancient Germanic, German, Polish]"
ADALET,f,"Means ""justice"" in Turkish, ultimately from Arabic.",[Turkish]
ADALFUNS,m,form of ALFONSO.,[Ancient Germanic]
ADALHEIDIS,f,form of ADELAIDE.,[Ancient Germanic]
ADALWIN,m,"From the Germanic elements adal ""noble"" and win ""friend"".",[Ancient Germanic]
'ADALYA',m,form of ADALIA.,[Biblical Hebrew]
ADALYNN,f,Variant of ADELINE using the popular name suffix lyn.,[English (Modern)]
ADAM,m,"derived from Hebrew אדם ('adam) meaning ""to be red"", referring to the ruddy colour of human skin, or from Akkadian adamu meaning ""to make"".... [more]","[English, French, German, Dutch, Swedish, Norwegian, Danish, Polish, Czech, Slovak, Russian, Ukrainian, Croatian, Serbian, Macedonian, Romanian, Hebrew, Arabic, Georgian, Biblical, Biblical Latin, Biblical Greek, Biblical Hebrew]"
ADAMO,m,form of ADAM.,[Italian]
ADÁN,m,form of ADAM.,[Spanish]
ADANNAYA,f,"Means ""her father's daughter"" in Igbo.","[Western African, Igbo]"
ADARA,f,"Means ""noble"" in Hebrew.",[Hebrew]
ADDIE,f,ADDIE   f   EnglishDiminutive of ADELAIDE.,[English]
ADDY  (1), (1),ADDY  (1)   f   EnglishDiminutive of ADELAIDE.,[English]
ADDYSON,f,variant of ADDISON.,[English (Modern)]
ADE  (2), (2),Variant of ADDE.,[Frisian]
ADEBOLA,m,"Means ""the crown has met wealth"" in Yoruba.","[Western African, Yoruba]"
ADEDAYO,m,"Means ""the crown becomes joy"" in Yoruba.","[Western African, Yoruba]"
ADÉL,f,form of ADELA.,[Hungarian]
ADÉLA,f,form of ADELA.,[Czech]
ADELAIDA,f,form of ADELAIDE.,"[Spanish, Hungarian]"
ADELAIDE,f,"From the French form of the Germanic name Adalheidis, which was composed of the elements adal ""noble"" and heid ""kind, sort, type"". It was borne in the 10th century by Saint Adelaide, the wife of the Holy Roman Emperor Otto the Great. The name became common in Britain in the 19th century due to the popularity of the German-born wife of King William IV, for whom the city of Adelaide in Australia was named in 1836.","[English, Italian, Portuguese]"
ADELAJDA,f,form of ADELAIDE.,[Polish]
ADELARDO,m,form of ADALHARD.,"[Spanish, Italian (Archaic)]"
ADÈLE,f,form of ADELA.,[French]
ADELHEID,f,form of ADELAIDE.,"[German, Dutch]"
ADELINA,f,"ADELINA   f   Italian, Portuguese, Spanish, Romanian, German, Bulgarian, Ancient Germanic (Latinized)Latinate diminutive of ADELA.","[Italian, Portuguese, Spanish, Romanian, German, Bulgarian, Ancient Germanic (Latinized)]"
ADELITA,f,"ADELITA   f   Spanish (Latin American)Spanish diminutive of ADELA. It is used especially in Mexico, where it is the name of a folk song about a female soldier.",[Spanish (Latin American)]
ADELLE,f,Variant of ADELE.,[English]
ADELYN,f,Variant of ADELINE using the popular name suffix lyn.,[English (Modern)]
ADEMAR,m,form of Audamar (see OTMAR).,[Portuguese]
ADEMIR,m,variant of ADEMAR.,[Portuguese (Brazilian)]
ADENA,f,variant of ADINA  (1).,[Hebrew]
